# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
1.6026999999996378e+03 -1.9930976600487483e+01 +0.0000000000000000e+00 +1.6025740354938514e+03 -6.9970506142576751e-21 +1.7052381025197238e-04 +2.1731927360839557e-19
1.6027999999996377e+03 -1.9932258394971750e+01 +0.0000000000000000e+00 +1.6026740272785285e+03 -6.7368984671841789e-21 +1.7049765387868078e-04 +1.8234135378154597e-19
1.6028999999996377e+03 -1.9933540189285651e+01 +0.0000000000000000e+00 +1.6027740190632078e+03 -6.4350505201209125e-21 +1.7047149750538915e-04 +1.4510241280344878e-19
1.6029999999996376e+03 -1.9934821983429213e+01 +0.0000000000000000e+00 +1.6028740108478892e+03 -6.0915067813780213e-21 +1.7044534113209758e-04 +1.0560245112490580e-19
1.6030999999996375e+03 -1.9936103777402462e+01 +0.0000000000000000e+00 +1.6029740026325728e+03 -5.7062672592629297e-21 +1.7041918475880596e-04 +6.3841469196439494e-20
1.6031999999996374e+03 -1.9937385571205425e+01 +0.0000000000000000e+00 +1.6030739944172585e+03 -5.3271180517291885e-21 +1.7039309070278122e-04 +5.8085064290522638e-20
1.6032999999996373e+03 -1.9938667364838125e+01 +0.0000000000000000e+00 +1.6031739862019465e+03 -4.9684161431622273e-21 +1.7036701854793778e-04 +6.5177888135163431e-20
1.6033999999996372e+03 -1.9939949158300589e+01 +0.0000000000000000e+00 +1.6032739779866367e+03 -4.6201491131896884e-21 +1.7034094640055471e-04 +7.1924544719767822e-20
1.6034999999996371e+03 -1.9941230951592846e+01 +0.0000000000000000e+00 +1.6033739697713290e+03 -4.2823169597316158e-21 +1.7031487426063209e-04 +7.8325034113229959e-20
1.6035999999996370e+03 -1.9942512744714918e+01 +0.0000000000000000e+00 +1.6034739615560236e+03 -3.9549196807078915e-21 +1.7028880212816987e-04 +8.4379356384475986e-20
1.6036999999996369e+03 -1.9943794537666832e+01 +0.0000000000000000e+00 +1.6035739533407202e+03 -3.6379572740393732e-21 +1.7026273000316809e-04 +9.0087511602373029e-20
1.6037999999996368e+03 -1.9945076330448618e+01 +0.0000000000000000e+00 +1.6036739451254191e+03 -3.3314297376463185e-21 +1.7023665788562669e-04 +9.5449499835808171e-20
1.6038999999996367e+03 -1.9946358123060300e+01 +0.0000000000000000e+00 +1.6037739369101203e+03 -3.0353370694501888e-21 +1.7021058577554568e-04 +1.0046532115364175e-19
